timestamp,x,y,theta
1684870113.195362,750.0101885171588,-308.47026908023213,-0.8525072049856206
1684870113.220505,750.0795444897957,-308.54960011909,-0.8523854630246183
1684870113.245737,750.1496046238667,-308.62971683530856,-0.852263264077427
1684870113.270163,750.2175970148597,-308.70744944920284,-0.8521386427099725
1684870113.295764,750.2889717307824,-308.7890274129481,-0.8520080012652894
1684870113.320641,750.3586005986377,-308.8685895666538,-0.8518810286929628
1684870113.345272,750.4277945589232,-308.9476336974143,-0.8517489325144312
1684870113.370499,750.4988726531935,-309.02880801383316,-0.8516136157906077
1684870113.395867,750.5703607414945,-309.11042707188267,-0.8514709956934473
1684870113.420905,750.6410946297606,-309.1911621121331,-0.8513302069973967
1684870113.445123,750.709682012457,-309.2694251480305,-0.8511908817408106
1684870113.47038,750.7814248928354,-309.351263751173,-0.8510390107347986
1684870113.495614,750.8532813946922,-309.43320579841475,-0.8508807431871912
1684870113.520703,750.9248211842616,-309.5147597196658,-0.8507168867616675
1684870113.545743,750.9965818618455,-309.59653685671293,-0.8505435855357668
1684870113.570783,751.0686215479474,-309.67860217711785,-0.8503637739329359
1684870113.595971,751.1413695513357,-309.7614425208435,-0.8501730740129969
1684870113.620647,751.2128165637914,-309.8427691631304,-0.849976654278042
1684870113.645416,751.285089976445,-309.92500216421405,-0.8497697830240748
1684870113.670184,751.3577208979029,-310.0076063963757,-0.8495564573109171
1684870113.695327,751.4316531195938,-310.0916539014208,-0.8493398742468379
1684870113.720365,751.5056586806168,-310.17574708757104,-0.8491176369240305
1684870113.745113,751.5792664315925,-310.25935118933944,-0.8488979007771037
1684870113.770131,751.653779791587,-310.3439459912011,-0.8486757640445254
1684870113.795813,751.7305785203502,-310.43109528276096,-0.8484476824467203
1684870113.820615,751.8049282676417,-310.5154280707498,-0.8482273913533709
1684870113.846038,751.8814116258777,-310.60214146344725,-0.8480015329778215
1684870113.871978,751.9595565163328,-310.6906968787966,-0.8477677103459856
1684870113.896445,752.0335416078242,-310.77450105318735,-0.8475471159513018
1684870113.921677,752.1098598793764,-310.8609084327357,-0.8473196235482714
1684870113.946756,752.1859669304732,-310.9470362750632,-0.8470869677665255
1684870113.971942,752.2626866932828,-311.03381662253406,-0.8468532662985346
1684870113.996283,752.3370294847235,-311.11786895531236,-0.8466210521433375
1684870114.021466,752.414448922306,-311.2053562241311,-0.8463741583797953
1684870114.046824,752.4927148955965,-311.2937540513851,-0.8461156086027644
1684870114.071602,752.5693121994442,-311.38022204601054,-0.8458565284998438
1684870114.096728,752.6471750962145,-311.4680710533847,-0.8455872533681414
1684870114.121104,752.7232706896899,-311.55387871364934,-0.8453132193257831
1684870114.147054,752.8046859225964,-311.6456303857841,-0.8450180385878108
1684870114.172997,752.8862966236569,-311.7375464319869,-0.8447161394214652
1684870114.198005,752.9651745677492,-311.82633199765985,-0.8444218207027934
1684870114.223132,753.0447713282324,-311.91587331121417,-0.8441260264351389
1684870114.248221,753.1244420289365,-312.00544273848664,-0.8438208435289881
1684870114.273424,753.2046697673339,-312.095582745389,-0.8435142491607688
1684870114.298106,753.2833469321154,-312.18392888388036,-0.8432235933990501
1684870114.323203,753.3638079055081,-312.2742242870251,-0.842927949187281
1684870114.348443,753.4448545161135,-312.3651224758144,-0.8426305974016212
1684870114.37358,753.5256641434984,-312.45570085531403,-0.8423344338846229
1684870114.398117,753.6046526131172,-312.5441864117824,-0.8420453133945488
1684870114.423932,753.6882475493417,-312.6377749504253,-0.8417410318708443
1684870114.448179,753.7669675431385,-312.72585506807985,-0.8414551848003887
1684870114.473552,753.8495400752623,-312.8181901988326,-0.8411560373423123
1684870114.498667,753.9315681089328,-312.90986179804105,-0.840859855992558
1684870114.523641,754.0135292783735,-313.00140438384005,-0.840565236443522
1684870114.548729,754.0960582946774,-313.09352631705246,-0.8402692501850152
1684870114.57324,754.1769942444402,-313.1838174464547,-0.8399799947073483
1684870114.598336,754.2601400750866,-313.27651862547157,-0.8396837622358823
1684870114.623856,754.3449070520071,-313.370969990259,-0.8393824720971608
1684870114.648255,754.4260579106237,-313.46133972403004,-0.8390944170057797
1684870114.673994,754.5120724182862,-313.55706771887554,-0.838793786016705
1684870114.698031,754.5926650975198,-313.6467109618135,-0.8385129871342205
1684870114.723399,754.6782917133015,-313.7418966723143,-0.838216486239674
1684870114.748734,754.7641056674428,-313.83723573609353,-0.8379302505795979
1684870114.773428,754.8480384241379,-313.9304324770182,-0.837651184070828
1684870114.79816,754.9323752731196,-314.0240252793162,-0.8373716122667814
1684870114.823714,755.0200900882522,-314.1213102303757,-0.8370826227397943
1684870114.848143,755.1043294799902,-314.21468867291503,-0.8368062809543634
1684870114.873459,755.1919094099904,-314.311714169946,-0.836519830414536
1684870114.898157,755.2776419468069,-314.40663966991485,-0.8362403009336019
1684870114.923174,755.3645098801971,-314.50276758075455,-0.8359571582663083
1684870114.948262,755.4517528476952,-314.59925540855687,-0.8356731863813425
1684870114.973321,755.5390060576449,-314.69569956096916,-0.835389543732884
1684870114.998665,755.6274842177768,-314.79344130601186,-0.8351025974547888
1684870115.023256,755.7137223080952,-314.8886557550953,-0.8348273261468435
1684870115.048607,755.8027218666231,-314.98686307699995,-0.8345435211699034
1684870115.073211,755.889223025831,-315.08226192924616,-0.8342745027430082
1684870115.09834,755.9777664082146,-315.17985915962913,-0.8339996911261106
1684870115.123249,756.0660952301815,-315.27716913918266,-0.8337402138702894
1684870115.149064,756.1578370816601,-315.3781852643421,-0.833474654861691
1684870115.175015,756.25047226177,-315.48013170124176,-0.833214393198731
1684870115.200907,756.3430964318135,-315.58201562661884,-0.8329682636635328
1684870115.22548,756.431370911151,-315.67907196068126,-0.8327474990437056
1684870115.250702,756.5222690428571,-315.77896945198864,-0.8325307679045225
1684870115.275861,756.6131473872832,-315.8788051348802,-0.8323310548055197
1684870115.300535,756.7024572244295,-315.97688165973864,-0.8321480975496794
1684870115.325736,756.7941503888167,-316.077541002732,-0.831977713032725
1684870115.350718,756.8853311088998,-316.1776064640765,-0.8318218754692104
1684870115.37584,756.9772232276805,-316.27842357567727,-0.8316783538987663
1684870115.400657,757.068447804677,-316.37848176830084,-0.8315463026955154
1684870115.425145,757.1587382360207,-316.4774926332489,-0.8314320418169525
1684870115.450495,757.2524922025359,-316.5802784982824,-0.8313204000036744
1684870115.475838,757.3465037916869,-316.6833250769901,-0.8312154295408752
1684870115.500079,757.436780567903,-316.7822579510597,-0.8311149991996315
1684870115.525022,757.5299511122503,-316.8843422102729,-0.8310181949768093
1684870115.551033,757.6272966341681,-316.99097924392373,-0.8309172203130748
1684870115.576759,757.7237598827397,-317.09662860051264,-0.8308173516707447
1684870115.60196,757.8187226596885,-317.200614154591,-0.8307194715933826
1684870115.626179,757.9102401589539,-317.3008081479123,-0.8306253806381252
1684870115.651561,758.0062654308532,-317.405916465727,-0.8305267714052227
1684870115.676509,758.1009271265126,-317.50951273575816,-0.8304330921094444
1684870115.701134,758.1945388439553,-317.61194223709185,-0.8303471013896492
1684870115.72656,758.2912903292244,-317.71778981086345,-0.8302650257794884
1684870115.751301,758.3857254478567,-317.82108869962667,-0.8301949099714783
1684870115.777022,758.4842897370816,-317.9288900111577,-0.8301287817053822
1684870115.802623,758.5826774126546,-318.0364868509938,-0.8300764529576329
1684870115.827492,758.6783569067401,-318.1411120261569,-0.830028878627303
1684870115.852955,758.7765841661627,-318.24851484248273,-0.8299902510981587
1684870115.87713,758.8702860639604,-318.3509626833762,-0.8299567446470288
1684870115.902371,758.9681226831152,-318.45792508933687,-0.8299284243593243
